OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
1067874,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,30.3,2007-05-13,PLI,18938,SX,6383,PLI,4931,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1241354,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,14,2010-05-16,PLI,11875,SX,1250,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1242470,ME,MOUND,27.9,2009-10-19,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,8.7,2009-05-15,PLI,7560,SX,4725,,,PL,28.1,2010-05-20,PLI,23920,SX,9960,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1242471,ME,MOUND,5.3,2009-10-19,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,32.4,2009-05-15,PLI,31500,SX,7200,SX,15120,PL,8.6,2010-05-20,PLI,5740,SX,3370,PLI,2610,2,NA,NA,NA,NA,NA,NA,NA,NA
1253990,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,61.7,2010-05-24,PLI,53725,SX,6945,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1254153,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,59.8,2010-05-24,PLI,58205,SX,6105,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1459616,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,50.9,2013-05-13,PLI,51795,SX,4165,,,PL,50.9,04-06-2020,SX,7680,PLI,68320,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1496930,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,250.6,2013-05-29,SX,13280,SX,10260,PLI,258680,PL,113.1,06-06-2020,PLI,130320,SX,18510,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1513630,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1532430,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,190.4,2014-05-10,SX,25320,PLI,201720,,,PL,190.4,17-06-2020,PLI,187020,SX,22240,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1564115,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,8.5,2015-05-14,SX,2000,PLI,8420,,,PL,8.5,06-06-2020,SX,1180,PLI,12580,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1565295,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,19.9,2015-05-09,SX,4840,PLI,18540,,,PL,19.9,24-05-2020,PLI,20480,SX,4860,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1566856,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,54.8,2015-05-14,PLI,52240,SX,12240,,,PL,54.8,28-05-2020,SX,15110,PLI,61090,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1566955,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,14,2015-05-17,PLI,13160,SX,3300,,,PL,14,08-06-2020,PLI,8380,SX,1160,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1566975,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,14.3,2015-05-24,PLI,13400,SX,3600,,,PL,14.3,09-06-2020,SX,650,PLI,27330,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1566995,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,2.4,2015-05-10,SX,580,PLI,2360,,,PL,2.4,18-06-2020,SX,180,PLI,3420,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1582436,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,1.8,2015-05-10,SX,400,PLI,1460,,,PL,1.8,05-06-2020,PLI,2000,SX,300,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1582445,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,70.6,2015-05-13,PLI,69600,SX,16920,,,PL,70.6,06-06-2020,SX,8580,PLI,71700,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1585449,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,95,2015-06-16,PLI,100820,SX,10880,,,PL,95,14-06-2020,SX,11940,PLI,134180,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1585455,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,283.9,2015-05-24,PLI,275040,SX,68615,,,PL,262.5,18-06-2020,PLI,317160,SX,38980,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1585755,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,86.4,2015-05-18,SX,20280,PLI,80920,,,PL,78,04-06-2020,PLI,83520,SX,16650,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1667299,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,22.9,2017-05-28,PLI,28030,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1667423,ME,SHARK,5.8,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1667426,ME,SHARK,4.7,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1667434,ME,SHARK,9.1,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1667436,ME,SHARK,11,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1667439,ME,SHARK,12.3,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1667440,ME,SHARK,23,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1667442,ME,SHARK,12.5,2016-06-03,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1683860,BU,PBURN,67,2018-11-15,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1684764,ME,SHARK,57.6,2017-06-27,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA
